nohup: ignoring input
Watching for file changes with StatReloader
Not Found: /
[03/Feb/2026 05:22:44] "GET / HTTP/1.1" 404 2789
[03/Feb/2026 05:44:11] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:14] "OPTIONS /api/registrations/ HTTP/1.1" 200 0
[03/Feb/2026 05:44:14] "POST /api/registrations/ HTTP/1.1" 201 104
[03/Feb/2026 05:44:17] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:17] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:17] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:17] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:18] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:18] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:18] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:18] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:22] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:22] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:24] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:24] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:24] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:24] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:25] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:25] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:25] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:25] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:27] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:27] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:27] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:27] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:29] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:29] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:30] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:30] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:30] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:30] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:32] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:32] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:43] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:43] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:43] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:43] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:45] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:45] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:45] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:45] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:47] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:47] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:47] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:44:47] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:49] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:49] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:49] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:44:49] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:46:01] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:46:01] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:46:02] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:46:02] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:46:02] "GET /api/registrations/ HTTP/1.1" 200 124
[03/Feb/2026 05:46:02] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:46:12] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:46:12] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:46:12] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:46:12] "GET /api/registrations/ HTTP/1.1" 200 124
